1010629,19469
1000693,19470
1010630,19472
1010641,19482
1001196,19491
1000675,19516
1000690,19517
1000671,19547
1001193,19551
1001197,19552
1000688,19553
1000713,19554
1000676,19560
1000672,19561
1000673,19562
1000691,19628
1027049,19629
1027053,19630
1027050,19631
1027051,19632
1027055,19633
1027054,19634
1027052,19635
1027056,19636
1027057,19637
1027060,19638
1027058,19639
1027059,19640
1027063,19641
1027062,19642
1027064,19643
1027065,19644
1027066,19645
1027067,19646
1027068,19647
1027069,19648
1027070,19649
1027072,19650
1027073,19651
1027076,19652
1027077,19653
1027071,19654
1027075,19655
1027074,19656
1027061,19657
1027078,19658
1027079,19659
1027087,19660
1027086,19661
1027081,19662
1027083,19663
1027085,19664
1027084,19665
1027082,19666
1027092,19667
1027089,19668
1027090,19669
1027080,19670
1027091,19671
1027088,19672
1027097,19673
1027096,19674
1027093,19675
1027094,19676
1027095,19677
1027099,19678
1027100,19679
1027105,19680
1027103,19681
1027106,19682
1027104,19683
1027098,19684
1027101,19685
1027102,19686
1027107,19687
1027111,19688
1027110,19689
1027113,19690
1027108,19691
1027109,19692
1027112,19693
1027120,19694
1027125,19695
1027114,19696
1027119,19697
1027115,19698
1027121,19699
1027123,19700
1027124,19701
1027117,19702
1027118,19703
1027122,19704
1027128,19705
1027116,19706
1027126,19707
1027127,19708
1027131,19709
1027129,19710
1027130,19711
1027137,19712
1027138,19713
1027134,19714
1027133,19715
1027147,19716
1027132,19717
1027141,19718
1027136,19719
1027135,19720
1027139,19721
1027142,19722
1027148,19723
1027140,19724
1027145,19725
1027144,19726
1027143,19727
1027146,19728
1027149,19729
1027150,19730
1027152,19731
1027151,19732
1027154,19733
1027153,19734
1027156,19735
1027155,19736
1027157,19737
1027159,19738
1027160,19739
1027158,19740
1027161,19741
1027162,19742
1027163,19743
1027164,19744
1027165,19745
1027166,19746
1027167,19747
1027168,19748
1027169,19749
1027170,19750
1027171,19751
1027172,19752
1027173,19753
1027174,19754
1027176,19755
1027177,19756
1027175,19757
1027180,19758
1027179,19759
1027178,19760
1027183,19761
1027181,19762
1027184,19763
1027182,19764
1027185,19765
1027186,19766
1027187,19767
1027188,19768
1027189,19769
1027190,19770
1027191,19771
1027195,19772
1027194,19773
1027192,19774
1027193,19775
1027196,19776
1027200,19777
1027201,19778
1027197,19779
1027198,19780
1027203,19781
1027202,19782
1027199,19783
1027205,19784
1027204,19785
1027208,19786
1027206,19787
1027207,19788
1027209,19789
1027210,19790
1027211,19791
1027212,19792
1027214,19793
1027217,19794
1027216,19795
1027213,19796
1027218,19797
1027215,19798
1027219,19799
1027221,19800
1027220,19801
1027222,19802
1027223,19803
1027224,19804
1027225,19805
1027228,19806
1027227,19807
1027226,19808
1027229,19809
1027230,19810
1027232,19811
1027231,19812
1027233,19813
1027235,19814
1027234,19815
1027236,19816
1027237,19817
1027240,19818
1027238,19819
1027239,19820
1027243,19821
1027242,19822
1027241,19823
1027245,19824
1027244,19825
1027249,19826
1027246,19827
1027251,19828
1027248,19829
1027250,19830
1027247,19831
1027252,19832
1027255,19833
1027264,19834
1027259,19835
1027263,19836
1027256,19837
1027261,19838
1027253,19839
1027257,19840
1027258,19841
1027268,19842
1027266,19843
1027267,19844
1027260,19845
1027254,19846
1027262,19847
1027265,19848
1027269,19849
1027270,19850
1027271,19851
1027272,19852
1027273,19853
1027274,19854
1027275,19855
1027277,19856
1027276,19857
1027278,19858
1027280,19859
1027281,19860
1027279,19861
1027283,19862
1027282,19863
1027284,19864
1027286,19865
1027285,19866
1027288,19867
1027287,19868
1027289,19869
1027290,19870
1027291,19871
1027292,19872
1027295,19873
1027294,19874
1027293,19875
1027296,19876
1027299,19877
1027298,19878
1027297,19879
1027300,19880
1027302,19881
1027301,19882
1027305,19883
1027304,19884
1027303,19885
1027306,19886
1027307,19887
1027308,19888
1027309,19889
1027310,19890
1027311,19891
1027313,19892
1027312,19893
1027314,19894
1027315,19895
1027316,19896
